group_id,start_idx,pred_start_idx,start_time,score,n_samples,is_alert
10.0.1.15->52.85.231.19,14,65,2026-01-01 09:35:00+00:00,0.7955245971679688,100,True
10.0.3.77->34.120.54.21,40,91,2026-01-01 14:10:00+00:00,0.7893925309181213,100,True
10.0.2.33->52.85.231.19,8,59,2026-01-01 09:25:00+00:00,0.7803058624267578,100,True
10.0.1.15->34.120.54.21,0,51,2026-01-01 10:20:00+00:00,0.7801299691200256,100,False
10.0.2.33->52.85.231.19,7,58,2026-01-01 09:20:00+00:00,0.778511643409729,100,True
10.0.1.15->34.120.54.21,1,52,2026-01-01 10:30:00+00:00,0.7767727971076965,100,False
10.0.1.15->52.85.231.19,0,51,2026-01-01 08:20:00+00:00,0.7757439613342285,100,False
10.0.2.33->52.85.231.19,5,56,2026-01-01 09:00:00+00:00,0.7711024880409241,100,True
10.0.1.15->52.85.231.19,15,66,2026-01-01 09:40:00+00:00,0.7696101665496826,100,True
10.0.3.77->34.120.54.21,44,95,2026-01-01 14:35:00+00:00,0.7625576853752136,100,True
10.0.2.33->52.85.231.19,3,54,2026-01-01 08:50:00+00:00,0.7601814270019531,100,True
10.0.2.33->52.85.231.19,4,55,2026-01-01 08:55:00+00:00,0.7573685050010681,100,True
10.0.1.15->52.85.231.19,17,68,2026-01-01 09:50:00+00:00,0.7404930591583252,100,True
10.0.1.15->52.85.231.19,25,76,2026-01-01 10:40:00+00:00,0.7370729446411133,100,True
10.0.1.15->52.85.231.19,3,54,2026-01-01 08:35:00+00:00,0.7369189858436584,100,True
10.0.3.77->34.120.54.21,43,94,2026-01-01 14:30:00+00:00,0.7326850891113281,100,True
10.0.1.15->52.85.231.19,24,75,2026-01-01 10:35:00+00:00,0.7319120764732361,100,True
10.0.2.33->52.85.231.19,10,61,2026-01-01 09:35:00+00:00,0.7281001210212708,100,True
10.0.1.15->52.85.231.19,16,67,2026-01-01 09:45:00+00:00,0.7255699038505554,100,True
10.0.1.15->52.85.231.19,6,57,2026-01-01 08:55:00+00:00,0.7221781015396118,100,True
10.0.1.15->52.85.231.19,10,61,2026-01-01 09:15:00+00:00,0.7219157814979553,100,True
10.0.2.33->52.85.231.19,6,57,2026-01-01 09:10:00+00:00,0.7196215391159058,100,True
10.0.2.33->52.85.231.19,1,52,2026-01-01 08:40:00+00:00,0.7139732241630554,100,False
10.0.3.77->34.120.54.21,39,90,2026-01-01 14:00:00+00:00,0.7131346464157104,100,True
10.0.1.15->52.85.231.19,13,64,2026-01-01 09:30:00+00:00,0.7125840783119202,100,True
10.0.1.15->52.85.231.19,9,60,2026-01-01 09:10:00+00:00,0.71230149269104,100,True
10.0.1.15->52.85.231.19,12,63,2026-01-01 09:25:00+00:00,0.7113170027732849,100,True
10.0.1.15->52.85.231.19,22,73,2026-01-01 10:25:00+00:00,0.709239661693573,100,True
10.0.2.33->52.85.231.19,0,51,2026-01-01 08:35:00+00:00,0.7035717368125916,100,False
10.0.2.33->52.85.231.19,2,53,2026-01-01 08:45:00+00:00,0.7011622190475464,100,False
10.0.2.33->52.85.231.19,9,60,2026-01-01 09:30:00+00:00,0.694456160068512,100,True
10.0.3.77->34.120.54.21,42,93,2026-01-01 14:25:00+00:00,0.6871742010116577,100,True
10.0.1.15->52.85.231.19,5,56,2026-01-01 08:50:00+00:00,0.6859663724899292,100,True
10.0.1.15->52.85.231.19,23,74,2026-01-01 10:30:00+00:00,0.6799490451812744,100,True
10.0.1.15->52.85.231.19,18,69,2026-01-01 09:55:00+00:00,0.6779248714447021,100,True
10.0.1.15->52.85.231.19,7,58,2026-01-01 09:00:00+00:00,0.6776762008666992,100,True
10.0.1.15->52.85.231.19,2,53,2026-01-01 08:30:00+00:00,0.6771301627159119,100,False
10.0.1.15->52.85.231.19,8,59,2026-01-01 09:05:00+00:00,0.6706072688102722,100,True
10.0.3.77->34.120.54.21,29,80,2026-01-01 12:55:00+00:00,0.669246256351471,100,True
10.0.1.15->52.85.231.19,21,72,2026-01-01 10:20:00+00:00,0.667831301689148,100,True
10.0.2.33->52.85.231.19,14,65,2026-01-01 10:00:00+00:00,0.6644613742828369,100,True
10.0.2.33->34.120.54.21,0,51,2026-01-01 10:20:00+00:00,0.6642579436302185,100,False
10.0.3.77->34.120.54.21,34,85,2026-01-01 13:25:00+00:00,0.6626211404800415,100,False
10.0.1.15->52.85.231.19,27,78,2026-01-01 10:50:00+00:00,0.6562199592590332,100,True
10.0.3.77->34.120.54.21,35,86,2026-01-01 13:30:00+00:00,0.6547517776489258,100,False
10.0.1.15->52.85.231.19,11,62,2026-01-01 09:20:00+00:00,0.6502178907394409,100,True
10.0.1.15->52.85.231.19,28,79,2026-01-01 10:55:00+00:00,0.6461411118507385,100,True
10.0.1.15->52.85.231.19,1,52,2026-01-01 08:25:00+00:00,0.6403213143348694,100,False
10.0.1.15->52.85.231.19,19,70,2026-01-01 10:05:00+00:00,0.635116696357727,100,True
10.0.3.77->34.120.54.21,19,70,2026-01-01 11:35:00+00:00,0.6345545649528503,100,False
10.0.2.33->52.85.231.19,15,66,2026-01-01 10:05:00+00:00,0.6323112845420837,100,True
10.0.1.15->52.85.231.19,29,80,2026-01-01 11:00:00+00:00,0.6313209533691406,100,True
10.0.3.77->34.120.54.21,37,88,2026-01-01 13:45:00+00:00,0.6288933157920837,100,True
10.0.3.77->34.120.54.21,30,81,2026-01-01 13:00:00+00:00,0.6275047063827515,100,True
10.0.2.33->34.120.54.21,4,55,2026-01-01 10:50:00+00:00,0.6271524429321289,100,True
10.0.1.15->34.120.54.21,2,53,2026-01-01 10:35:00+00:00,0.6259346604347229,100,False
10.0.2.33->34.120.54.21,2,53,2026-01-01 10:30:00+00:00,0.6243224740028381,100,False
10.0.3.77->34.120.54.21,33,84,2026-01-01 13:15:00+00:00,0.6237651109695435,100,False
10.0.3.77->34.120.54.21,36,87,2026-01-01 13:35:00+00:00,0.6224865317344666,100,True
10.0.1.15->52.85.231.19,26,77,2026-01-01 10:45:00+00:00,0.6211512684822083,100,True
10.0.2.33->34.120.54.21,6,57,2026-01-01 11:00:00+00:00,0.6190729141235352,100,True
10.0.3.77->34.120.54.21,38,89,2026-01-01 13:55:00+00:00,0.6182336807250977,100,True
10.0.2.33->52.85.231.19,16,67,2026-01-01 10:10:00+00:00,0.6181243658065796,100,True
10.0.2.33->52.85.231.19,12,63,2026-01-01 09:45:00+00:00,0.6126086115837097,100,True
10.0.2.33->52.85.231.19,19,70,2026-01-01 10:25:00+00:00,0.611873209476471,100,False
10.0.1.15->34.120.54.21,13,64,2026-01-01 11:45:00+00:00,0.6112980246543884,100,False
10.0.1.15->52.85.231.19,4,55,2026-01-01 08:40:00+00:00,0.6092113852500916,100,True
10.0.3.77->34.120.54.21,4,55,2026-01-01 10:00:00+00:00,0.6053884625434875,100,False
10.0.3.77->34.120.54.21,5,56,2026-01-01 10:05:00+00:00,0.6047176718711853,100,False
10.0.1.15->52.85.231.19,20,71,2026-01-01 10:10:00+00:00,0.6042500138282776,100,True
10.0.3.77->34.120.54.21,20,71,2026-01-01 11:55:00+00:00,0.6035045981407166,100,False
10.0.3.77->34.120.54.21,0,51,2026-01-01 09:35:00+00:00,0.6029747128486633,100,False
10.0.1.15->34.120.54.21,5,56,2026-01-01 10:50:00+00:00,0.6025193333625793,100,True
10.0.2.33->34.120.54.21,7,58,2026-01-01 11:10:00+00:00,0.6018384099006653,100,True
10.0.3.77->34.120.54.21,26,77,2026-01-01 12:40:00+00:00,0.6000784039497375,100,True
10.0.1.15->34.120.54.21,15,66,2026-01-01 12:00:00+00:00,0.598688006401062,100,True
10.0.3.77->52.85.231.19,14,65,2026-01-01 11:25:00+00:00,0.5984843373298645,100,True
10.0.2.33->52.85.231.19,13,64,2026-01-01 09:50:00+00:00,0.5977509617805481,100,True
10.0.2.33->34.120.54.21,8,59,2026-01-01 11:20:00+00:00,0.5975553393363953,100,True
10.0.2.33->52.85.231.19,20,71,2026-01-01 10:30:00+00:00,0.5948914885520935,100,False
10.0.1.15->34.120.54.21,8,59,2026-01-01 11:10:00+00:00,0.5948621034622192,100,True
10.0.1.15->34.120.54.21,3,54,2026-01-01 10:40:00+00:00,0.5947195887565613,100,True
10.0.2.33->34.120.54.21,3,54,2026-01-01 10:45:00+00:00,0.5940564274787903,100,True
10.0.3.77->34.120.54.21,25,76,2026-01-01 12:35:00+00:00,0.5934852361679077,100,True
10.0.2.33->52.85.231.19,11,62,2026-01-01 09:40:00+00:00,0.591355562210083,100,True
10.0.2.33->52.85.231.19,18,69,2026-01-01 10:20:00+00:00,0.590178370475769,100,False
10.0.1.15->34.120.54.21,14,65,2026-01-01 11:55:00+00:00,0.5894085764884949,100,True
10.0.3.77->34.120.54.21,41,92,2026-01-01 14:20:00+00:00,0.5887123346328735,100,True
10.0.1.15->34.120.54.21,11,62,2026-01-01 11:35:00+00:00,0.5835124850273132,100,False
10.0.2.33->34.120.54.21,5,56,2026-01-01 10:55:00+00:00,0.5800489783287048,100,True
10.0.1.15->34.120.54.21,6,57,2026-01-01 10:55:00+00:00,0.5792373418807983,100,True
10.0.1.15->34.120.54.21,9,60,2026-01-01 11:20:00+00:00,0.5753801465034485,100,True
10.0.3.77->52.85.231.19,16,67,2026-01-01 11:40:00+00:00,0.5752031207084656,100,True
10.0.3.77->52.85.231.19,13,64,2026-01-01 11:20:00+00:00,0.5724066495895386,100,False
10.0.3.77->52.85.231.19,12,63,2026-01-01 11:10:00+00:00,0.5701903104782104,100,False
10.0.1.15->34.120.54.21,12,63,2026-01-01 11:40:00+00:00,0.5671579241752625,100,False
10.0.1.15->34.120.54.21,7,58,2026-01-01 11:00:00+00:00,0.5671179294586182,100,True
10.0.1.15->52.85.231.19,77,128,2026-01-01 16:10:00+00:00,0.566584050655365,100,False
10.0.3.77->34.120.54.21,55,106,2026-01-01 15:55:00+00:00,0.5617421269416809,100,False
10.0.2.33->34.120.54.21,9,60,2026-01-01 11:25:00+00:00,0.5588852167129517,100,True
